HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,FamilyNumber,TotalExpenses,Corridor,Room,Side
Earth,0,TRAPPIST-1e,24.0,0,226.60033250207815,4.0,0.0,670.0,113.0,Cores Flynner,0594,787.0,E,39,S
Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Annah Morsentley,1800,0.0,G,283,S
Earth,0,PSO J318.5-22,47.0,0,163.0,2.0,11.0,593.0,0.0,Alancy Morez,5945,769.0,G,970,S
Earth,0,TRAPPIST-1e,20.0,0,0.0,0.0,53.0,2.0,754.0,Brancy Ocherman,5732,809.0,G,921,P
Earth,0,TRAPPIST-1e,19.0,0,2.0,3.0,450.0,204.0,0.0,Marky Meltonway,5916,659.0,E,383,S
Europa,1,55 Cancri e,25.0,0,0.0,0.0,0.0,0.0,0.0,Atrino Lisholtery,7660,0.0,B,294,S
Europa,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Antinon Whifounrew,3279,0.0,C,123,S
Europa,0,TRAPPIST-1e,24.0,0,0.0,3385.0,826.0,9.0,793.0,Muonon Ormler,0600,5013.0,C,23,S
Earth,1,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,0064,0.0,E,3,S
Earth,1,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,Alendy Wardendez,0825,0.0,G,120,P
Europa,0,TRAPPIST-1e,47.0,0,0.0,10679.0,0.0,273.0,80.0,Saiphda Volloor,3495,11032.0,C,127,S
Earth,0,PSO J318.5-22,16.0,0,399.0,0.0,3.0,0.0,137.0,Viviay Nieldson,6766,539.0,G,1098,P
Mars,1,TRAPPIST-1e,29.0,0,1052.0,0.0,635.0,0.0,0.0,Neypus Pine,7848,1687.0,F,1501,S
Europa,1,TRAPPIST-1e,11.0,0,0.0,0.0,0.0,0.0,0.0,Miatrix Ametic,6191,0.0,A,59,P
Earth,0,TRAPPIST-1e,61.0,0,0.0,53.0,813.0,3.0,0.0,Min Alfordonard,5445,869.0,F,1125,P
Mars,1,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0,Morms Cheen,3166,0.0,F,657,P
Europa,1,55 Cancri e,26.0,0,1.0,4680.0,25.0,564.0,13.0,Zinoces Myling,8431,5283.0,B,277,P
Earth,0,TRAPPIST-1e,20.0,0,0.0,25.0,0.0,0.0,803.0,Warry Navages,4547,828.0,E,297,S
Mars,0,TRAPPIST-1e,40.0,0,953.0,0.0,356.0,0.0,0.0,Hork Repie,8158,1309.0,F,1686,P
Earth,0,TRAPPIST-1e,32.0,0,226.60033250207815,5.0,0.0,64.0,0.0,Therry Fowlesterez,5950,69.0,E,378,P
Mars,1,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,Hon Mille,9097,0.0,F,1863,P
Europa,0,55 Cancri e,63.0,0,0.0,1068.0,0.0,176.0,8188.0,Wezncha Excialing,0377,9432.0,C,15,S
Earth,0,TRAPPIST-1e,21.0,0,0.0,13.0,0.0,720.0,170.0,Benda Fryan,7062,903.0,F,1464,P
Europa,1,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,Dhenah Motled,6152,0.0,B,235,S
Europa,1,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,Asteron Spandisket,6858,0.0,B,229,P
Europa,0,TRAPPIST-1e,19.0,0,0.0,3.0,0.0,918.0,2346.0,Shatrix Impress,8268,3267.0,B,321,S
Europa,0,55 Cancri e,42.0,0,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,0206,2981.0,C,9,S
Mars,0,TRAPPIST-1e,24.0,0,439.0,0.0,2140.0,0.0,0.0,Babix Prine,4317,2579.0,D,139,S
Earth,1,55 Cancri e,2.0,0,0.0,0.0,0.0,0.0,0.0,Sharie Moodman,4661,0.0,G,757,P
Earth,0,TRAPPIST-1e,55.0,0,210.0,185.0,188.0,59.0,73.0,Lulah Hinetthews,0456,715.0,F,83,S
Mars,0,TRAPPIST-1e,24.0,0,737.0,37.0,1682.0,0.0,0.0,Gorn Traie,2532,2456.0,F,489,S
Mars,1,TRAPPIST-1e,33.0,0,0.0,0.0,0.0,0.0,0.0,Dicks Chort,0582,0.0,F,118,P
Earth,0,PSO J318.5-22,23.0,0,200.0,414.0,73.0,1.0,1.0,Robin Wright,1463,689.0,F,282,S
Europa,0,TRAPPIST-1e,20.0,0,226.60033250207815,7759.0,18.0,4925.0,12685.0,Charda Rewmid,8729,25387.0,E,559,P
Mars,1,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0,Bakix Razo,3361,0.0,F,635,S
Europa,1,55 Cancri e,33.0,1,0.0,0.0,0.0,0.0,0.0,Hekabih Pulgaly,8092,0.0,D,238,S
Europa,0,TRAPPIST-1e,31.0,0,0.0,1983.0,0.0,172.0,52.0,Aston Spedlybood,1871,2207.0,C,70,S
Earth,0,55 Cancri e,0.0,0,0.0,0.0,0.0,0.0,0.0,Yolace Domington,3301,0.0,G,525,S
Europa,0,TRAPPIST-1e,32.0,0,247.0,4651.0,0.0,46.0,202.0,Noname Siveduced,0330,5146.0,C,14,S
Earth,0,TRAPPIST-1e,36.0,0,0.0,0.0,38.0,9.0,943.0,Danie Gilesonston,0475,990.0,E,29,P
Europa,0,55 Cancri e,24.0,0,0.0,284.0,0.0,4614.0,438.0,Giedir Asoppor,0816,5336.0,E,60,S
Earth,0,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,Elany Browlerson,1186,0.0,G,183,S
Europa,0,55 Cancri e,27.0,0,3340.0,588.0,170.72672872340425,173.0,71.0,Duhra Scoudelle,3732,4172.0,A,43,S
Earth,1,PSO J318.5-22,64.0,0,0.0,0.0,0.0,0.0,0.0,Amyra Kirks,3594,0.0,G,588,P
Earth,0,TRAPPIST-1e,18.0,0,0.0,0.0,1435.0,0.0,306.23469727212245,Karene Fisheparks,3401,1435.0,G,545,S
Earth,1,TRAPPIST-1e,52.0,0,0.0,0.0,0.0,0.0,0.0,Marynk Hanghanson,2056,0.0,G,331,P
Earth,0,TRAPPIST-1e,41.0,0,1.0,922.0,4.0,55.0,15.0,Arl Lerez,0685,997.0,E,41,P
Earth,0,TRAPPIST-1e,58.0,0,226.60033250207815,400.0,0.0,690.0,490.0,Debony Estiagosen,2387,1580.0,E,142,P
Europa,0,TRAPPIST-1e,54.0,0,0.0,5876.0,0.0,0.0,914.0,Dabiton Boderbint,2723,6790.0,C,99,S
Mars,0,55 Cancri e,16.0,0,1337.0,0.0,2614.0,0.0,0.0,Crick Nan,6744,3951.0,D,212,P
Earth,0,TRAPPIST-1e,55.0,0,0.0,0.0,719.0,274.0,0.0,Cinda Cleman,6693,993.0,E,428,P
Earth,0,TRAPPIST-1e,40.0,0,0.0,0.0,362.0,272.0,0.0,Helle Bucknersony,2725,634.0,F,565,P
Mars,1,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,Wealke Ica,3682,0.0,F,761,P
Mars,0,TRAPPIST-1e,4.0,0,0.0,0.0,0.0,0.0,0.0,Cran Birt,7984,0.0,F,1653,P
Earth,0,TRAPPIST-1e,22.0,0,226.60033250207815,0.0,137.0,671.0,306.23469727212245,Idave Owerson,2636,808.0,G,419,S
Earth,0,TRAPPIST-1e,31.0,0,91.0,756.0,0.0,0.0,12.0,Sony Reynoldez,2763,859.0,E,168,P
Earth,0,PSO J318.5-22,27.0,0,0.0,605.0,0.0,0.0,0.0,Jaye Daviddley,7815,605.0,F,1496,S
Mars,0,TRAPPIST-1e,22.0,0,0.0,0.0,0.0,0.0,0.0,Rosts Ses,3268,0.0,E,219,S
Mars,0,TRAPPIST-1e,19.0,0,1823.0,36.0,81.0,0.0,0.0,Sumpid Bart,7832,1940.0,D,228,S
Earth,0,TRAPPIST-1e,14.0,0,0.0,0.0,709.0,258.0,3.0,Amandy Munozanson,2965,970.0,F,622,P
Earth,0,55 Cancri e,78.0,0,0.0,213.0,202.0,288.0,0.0,Regory Haydenzier,6485,703.0,F,1238,S
Europa,1,55 Cancri e,44.0,0,0.0,0.0,0.0,0.0,0.0,Alyat Stingive,5006,0.0,B,166,P
Mars,1,TRAPPIST-1e,5.0,0,0.0,0.0,0.0,0.0,0.0,Sugard Fone,0585,0.0,F,120,P
Europa,0,TRAPPIST-1e,25.0,0,0.0,1003.0,1629.0,73.0,748.0,Krazet Distured,8204,3453.0,E,541,S
Europa,0,TRAPPIST-1e,30.0,0,50.0,1248.0,0.0,1.0,912.0,Luxion Coarswing,1444,2211.0,C,55,S
Earth,0,TRAPPIST-1e,29.0,0,3.0,0.0,664.0,683.0,34.0,Ivaney Giller,7126,1384.0,F,1366,S
Earth,1,PSO J318.5-22,57.0,0,0.0,0.0,0.0,0.0,0.0,Eriky Hewson,0982,0.0,G,145,P
Earth,0,55 Cancri e,18.0,0,749.0,0.0,74.0,0.0,0.0,Mariel Gilleranks,5573,823.0,F,1154,P
Europa,0,TRAPPIST-1e,40.0,0,1006.0,466.7652925531915,0.0,284.0,329.0,Ancham Spandisket,1511,1619.0,B,63,S
Mars,1,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0,Tous Wate,7783,0.0,F,1487,S
Mars,1,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,Quid Jamai,5397,0.0,D,162,S
Earth,1,TRAPPIST-1e,27.0,0,0.0,0.0,0.0,0.0,0.0,Ots Coflé,3703,0.0,F,768,P
Earth,1,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Lynney Burksson,7207,0.0,G,1160,P
Earth,1,55 Cancri e,15.0,0,0.0,0.0,0.0,0.0,0.0,Eriana Mcleaney,4895,0.0,G,789,P
Europa,0,TRAPPIST-1e,29.0,0,387.0,942.0,0.0,9927.0,1341.0,Tareson Kiling,0992,12597.0,D,35,S
Europa,0,TRAPPIST-1e,39.0,0,3926.0,2030.0,0.0,1483.0,611.0,Alrakan Aivering,5089,8050.0,B,170,P
Earth,0,TRAPPIST-1e,23.0,0,490.0,313.0,0.0,6.0,0.0,Allena Sullones,2648,809.0,G,421,S
Earth,0,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0012,908.0,C,163,B
Earth,0,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,314.1307461692205,135.0,Fany Hutchinton,0164,1873.0,G,28,S
Mars,0,TRAPPIST-1e,39.0,0,197.0,0.0,2401.0,0.0,0.0,Oaters Kad,7240,2598.0,F,1392,S
Europa,0,55 Cancri e,37.0,0,0.0,100.0,0.0,1402.0,1462.0,Alatrix Sometery,2547,2964.0,A,20,P
Mars,1,TRAPPIST-1e,22.0,0,0.0,0.0,0.0,0.0,0.0,Clek Dan,5250,0.0,F,1007,S
Europa,1,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,Winork Dreamspric,6893,0.0,B,261,S
Mars,0,TRAPPIST-1e,59.0,0,142.0,0.0,907.0,0.0,0.0,Newtch Purle,1228,1049.0,E,89,S
Europa,1,TRAPPIST-1e,14.0,0,0.0,0.0,0.0,0.0,0.0,Terope Gloother,4336,0.0,C,155,S
Earth,0,55 Cancri e,25.0,0,0.0,83.0,0.0,439.0,0.0,Aliedy Yanton,3997,522.0,G,657,S
Europa,1,55 Cancri e,42.0,0,0.0,0.0,0.0,0.0,0.0,Altaira Unative,6450,0.0,C,200,P
Europa,0,55 Cancri e,35.0,0,74.0,5082.0,0.0,893.0,1937.0,Terion Spistory,3269,7986.0,C,122,S
Earth,1,TRAPPIST-1e,30.0,0,0.0,0.0,0.0,0.0,0.0,Jillie Whitledges,6182,0.0,G,1002,P
Mars,0,TRAPPIST-1e,32.0,0,2616.0,0.0,2.0,5.0,0.0,Nilly Purle,3040,2623.0,F,577,S
Earth,0,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Hughan Cartez,1434,0.0,G,222,P
Earth,0,55 Cancri e,2.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Doughan,3903,0.0,G,636,P
Mars,0,TRAPPIST-1e,33.0,0,1758.0,59.0,4.0,0.0,0.0,Sceres Ponie,1291,1821.0,F,260,P
Earth,0,TRAPPIST-1e,19.0,0,3.0,6.0,20.0,60.0,719.0,Viviay Oconley,2003,808.0,G,323,P
Europa,0,55 Cancri e,36.0,0,13.0,1480.0,1.0,1439.0,1955.0,Enifark Brailidy,4793,4888.0,E,310,S
Earth,1,PSO J318.5-22,14.0,0,0.0,0.0,0.0,0.0,0.0,Blance Englence,3372,0.0,G,551,P
Mars,0,TRAPPIST-1e,40.0,0,1268.0,0.0,0.0,0.0,0.0,Sies Min,4219,1268.0,F,868,P
Earth,1,TRAPPIST-1e,14.0,0,0.0,0.0,0.0,0.0,0.0,Blancy Balley,7572,0.0,G,1228,S
Mars,1,TRAPPIST-1e,22.0,0,223.0,0.0,630.0,14.0,0.0,Yots Fisty,4932,867.0,D,161,P
Earth,1,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Hinglendez,9227,0.0,G,1498,P
Earth,0,55 Cancri e,21.0,0,614.0,43.0,0.0,1.0,0.0,Briany Lancock,1236,658.0,F,246,P
