CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,FamilyNumber,IndividualNumber,Room,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Side_B,Side_P,Side_S,Corridor_A,Corridor_B,Corridor_C,Corridor_D,Corridor_E,Corridor_F,Corridor_G,Corridor_T
0,42.0,0,0.0011619750583693436,0.0009123762928724665,0.0,0.0,0.0,Joyn Hartley,1997,01,315,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,43.0,0,0.0,0.0009312332932790472,0.0,0.0,0.0012726048869181384,Altar Freednal,4362,01,168,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,19.0,0,0.0,0.0007155341140599628,0.002664179373138056,0.00013202954330143683,0.0,Eriey Bartez,3566,01,573,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,52.0,0,0.0018111626576353254,0.0007024591899961076,0.0,0.0009004651136417446,0.0,Joyn Guezaley,8410,01,1615,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,13.0,0,0.0,0.0,0.0,0.0,0.0,Cruis Gelte,3455,01,709,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,4.0,0,0.0,0.0,0.0,0.0,0.0,Janee Holliams,8638,02,1402,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,33.0,0,0.0025712257991198674,0.0011069620633416372,0.0013585200292166371,0.001525926654244894,0.0009818853931139843,Alasmon Idercaling,4254,01,136,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1,7.0,0,0.0,0.0,0.0,0.0,0.0,Lavey Morez,5945,01,970,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,51.0,0,0.0,0.0,0.0,0.0,0.0,Florey Micknightt,3271,01,532,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,32.0,0,0.0025712257991198674,0.00013506587106653688,0.0,0.0,0.0,Tin Rochan,6731,01,1397,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,19.0,0,0.0,0.0,0.0,0.0,0.0,Loreen Mcclayton,0591,01,86,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,33.0,0,0.0,0.0,0.0,0.0,0.0,Jonaye Josesh,5767,01,936,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,25.0,0,0.0008856639543078435,0.00017043415349584867,0.0,0.0012295756834059287,0.0,Lynnon Lunapperts,7517,01,1557,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,22.0,0,0.0,0.0008269382955726911,0.0025414840056453996,0.0,0.00044052371961554577,Belly Lerez,6681,01,1280,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,26.0,0,0.0,0.0007714333863511854,0.0004696228818552623,0.0004385926492481906,0.001030728188572108,Elanie Hardson,0669,01,143,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,25.0,0,0.0,0.0,0.0,0.0,0.0,Bosonon Ainserfle,3412,02,107,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,19.0,0,0.0014409297837154418,0.0,0.0,0.0008223880870136249,0.0010975080578901324,Felice Wheelez,3409,01,701,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,38.0,0,0.0015184666416781813,0.000594583398732644,0.0,0.001012050800398059,0.0,Denne Moodsey,6588,01,1073,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,10.0,0,0.0,0.0,0.0,0.0,0.0,Timyra Hanner,6020,03,974,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,49.0,0,0.002361672531963975,0.0,0.0018099499880724357,0.0010732252128394762,0.0,Weaffs Kinie,2096,02,412,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,52.0,0,0.0,0.000796859701899015,0.0009842841357616612,0.0,0.0,Bonyan Onell,6411,01,1328,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,27.0,0,0.0,0.0,0.002961736302034605,0.0,0.0009616567118268222,Fanna Kerristicey,3966,02,649,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,33.0,0,0.0,0.0,0.0,0.0012439909080343555,0.0005308789099799554,Dandra Jacostaney,0365,01,51,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,31.0,0,0.0018166232307539449,0.000759275042735432,0.0014814952456022915,0.00026405908660287366,0.0,Troyra Kellson,6414,01,1040,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,28.0,0,0.0,0.0,0.0,0.0,0.0,Alsafik Fouseding,2518,02,87,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,17.0,0,0.0,0.0007463501798648199,0.0,0.0015252936248574317,0.0,Deandy Moreman,3655,01,690,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,15.0,0,0.0,0.0,0.0,0.0,0.0,Suhelik Opshosent,7667,01,251,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
1,11.0,0,0.0,0.0,0.0,0.0,0.0,Karena Domington,5812,06,943,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,36.0,0,0.0,0.0008235001726251096,0.0,0.0,0.0,Elenna Raney,2397,01,387,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,37.0,0,0.0009405590697923828,0.0006732887731508235,0.0,0.0011944876383079234,0.0,Dawne Mcfaddoxter,6718,01,1088,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,22.0,0,0.0,0.0007664725071267583,0.0004696228818552623,0.000418523750240235,0.0007415179241796949,Elany Stantiagord,4770,01,900,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,46.0,0,0.0022320541785393524,0.0005402634842661475,0.0030228795880101393,0.0,0.0009928284269286871,Hion Knike,5351,01,1026,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,35.0,0,0.00022141598857696089,0.0,0.0,0.0,0.0011489221587254461,Tyrona Robbson,8976,01,1737,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,24.0,0,0.002092192588526453,0.0,0.001689034868053699,0.0002092618751201175,0.00027641698796635237,Milyn Nguerrettye,4457,01,917,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,60.0,0,0.0,0.0,0.0,0.0,0.0,Mael Chasey,4072,01,671,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,30.0,0,0.0,0.0008156767796335893,0.002333804481648385,0.0015092954079416597,0.0007568431510973321,Alkeson Asticit,0926,02,39,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,29.0,1,0.0,0.0008391374416030775,0.0,0.0014527894446448783,0.001410534922228667,Atrino Rewmid,4693,01,186,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,7.0,0,0.0,0.0,0.0,0.0,0.0,Lorian Nieldsond,8252,03,1341,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,41.0,0,0.0,0.0,0.0027929932835759216,0.0,0.0007195628582269454,Rhony Horndley,5855,02,949,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,31.0,0,0.0,0.0,0.0,0.0,0.0,Otlios Kra,7321,01,1518,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,14.0,0,0.0,0.0,0.0,0.0,0.0,Melica Saley,5072,02,817,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,35.0,0,0.0022470349749931407,0.0005822789127472027,0.0016971773841246993,0.0,0.0,Cus Ble,0408,01,25,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,31.0,0,0.0,0.0006758342523627256,0.0,0.0010732252128394762,0.0,Josey Mandez,6396,01,427,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,28.0,0,0.0,0.0,0.0,0.0,0.0,Ale Booneid,4596,01,751,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,26.0,0,0.0,0.0,0.0027867344723706946,0.00013202954330143683,0.0008057274164412373,Juanie Hayerson,6925,01,1120,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,32.0,0,0.0,0.00028308500141310247,0.001062220980096179,0.0012696685519801004,0.0007142779018221788,Stany Hoopez,2727,01,525,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,23.0,0,0.0011862476734549917,0.0001978679246651781,0.0009842841357616612,0.0010981441888449856,0.0012458871355013235,Etha Simmonders,7707,01,1237,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,24.0,0,0.001611050278202747,0.000255651230243773,0.002346351647319417,0.0010221023506976938,0.0010507680889723138,Gabrin Savaraldez,4723,02,888,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,16.0,0,0.001208805448908895,0.00017043415349584867,0.002830446770155865,0.0,0.0,Gaylah Acobson,6905,03,1322,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
0,23.0,0,0.0007355279931110657,0.00013506587106653688,0.0002962990491204583,0.0,0.0011318679344262139,Leria Cofferson,9165,01,1771,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,32.0,0,0.0,0.0,0.0,0.0,0.0,Shawne Simonsents,9076,01,1461,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,20.0,0,0.0,0.0,0.0,0.0,0.0,Monard Hammonton,4315,02,710,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,51.0,0,0.0,0.0,0.0,0.0,0.0,Allene Noeley,1433,01,219,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,11.0,0,0.0,0.0,0.0028118329269758847,0.0,0.0,Jacob Cabrera,0984,02,182,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,33.0,0,0.0006215932653537814,0.0,0.0,0.0012735118776725752,0.0002380926339407263,Sall Hestes,9136,01,1471,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,47.0,0,0.0,0.0,0.0,0.0,0.0,Kelle Hickson,3352,01,547,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,17.0,0,0.0,0.0,0.0,0.0,0.0,Armene Lewintos,6077,01,985,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,43.0,0,0.0,0.0,0.0,0.0,0.0,Dorice Morandry,8459,01,1355,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,31.0,0,0.002227000180393613,0.0003244516565995703,0.0021447324414110396,0.0006878017487141232,0.0,Vivers Jaff,3305,02,106,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,20.0,0,0.0021189190400573705,0.0,0.001997490257747621,0.001012050800398059,0.0,Chrisa Harverez,1025,01,210,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,63.0,0,0.0,0.0006614167070581679,0.0,0.0012168827463829358,0.0,Julin Fryan,1501,01,243,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
1,22.0,0,0.0,0.0,0.0,0.0,0.0,Race Fowles,0129,01,22,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,55.0,0,0.0015129110973239306,0.0009615611310101572,0.001597738524925027,0.0,0.0013350956577690217,Vindem Eneurordry,0516,01,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
0,19.0,0,0.0016310215152436647,0.0,0.002848829384380446,0.0,0.0,Bubbix Potte,0691,01,49,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,3.0,0,0.0,0.0,0.0,0.0,0.0,Nathy Gibbsonton,8383,02,1368,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,31.0,0,0.0,0.0007920604097011477,0.0002962990491204583,0.0,0.00045325158086994183,Delody Parsoney,3483,01,717,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,16.0,0,0.0,0.0,0.0,0.0,0.0,Alphah Pumbody,6428,02,198,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,44.0,0,0.0,0.0,0.0,0.0,0.0,Murie Hinetthews,6324,02,1025,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,26.0,0,0.0,0.0,0.0,0.0,0.0,Minus Roforhauge,2995,01,94,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,16.0,0,0.0,0.00047070180313122555,0.0004696228818552623,0.0016292247602890909,0.0008830680217265122,Astab Fuelisent,0471,01,22,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
1,70.0,0,0.0,0.0,0.0,0.0,0.0,Gorab Distured,1452,02,53,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,41.0,0,0.0,0.0009929067885318219,0.0,0.0011567836078317855,0.0010734178174769309,Sterfik Pulgaly,8092,03,238,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,19.0,0,0.0,0.0,0.0,0.0,0.0,Dow Chate,8542,01,544,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,20.0,0,0.0020097520985517875,0.0008786402807328097,0.0015660596516680445,0.0,0.0,Sceros Gin,1525,01,299,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,29.0,0,0.0,0.0004298685208161475,0.0,0.0016030325483773048,0.0,Julies Winsley,5356,01,340,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,28.0,0,0.0,0.0,0.0,0.0,0.0,Craine Hoodgers,7835,01,1270,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,37.0,0,0.0,0.0,0.0,0.0,0.0,Tark Replic,1567,01,53,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,18.0,0,0.0010015889423894944,0.0,0.0027892490041436517,0.0,0.00011904631697036315,Patsya Bonder,8216,01,1334,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,30.0,0,0.0020358661786466893,0.0003244516565995703,0.0020570604464370053,0.000707355144383423,0.0008009341509853203,Guye Klindsey,1239,01,78,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,43.0,0,0.0021424115918769948,0.0,0.0027471256791235512,0.0,0.0,Ste Brity,5531,01,1145,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,56.0,0,0.0,0.0008187086046894606,0.0010964367698127824,0.00026405908660287366,0.0006154605304347066,Evenna Conney,4305,01,893,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,37.0,0,0.0,0.0010068724251254856,0.0015074104022981408,0.0016316686261514618,0.00011904631697036315,Fomamak Chocaters,4446,02,175,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,23.0,0,0.00035093603895458694,0.0010840002489265125,0.0,0.000605350505024428,0.0,Batrix Ainserfle,3412,03,107,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,9.0,0,0.0,0.0,0.0,0.0,0.0,Chadie Morelly,8157,06,1313,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,38.0,0,0.0,0.0007998357565409208,0.0018990964398188852,0.001064962072044796,0.0,Wally Popelase,4303,02,705,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,18.0,0,0.001611050278202747,0.00038548472638330123,0.001862358700788503,0.001325795671779355,0.0,Ianna Antoshipson,2860,01,546,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,18.0,0,0.0022634902394380596,0.0,0.002164103290669185,0.00037065378824430623,0.0,Billya Bowerson,0309,01,60,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,38.0,0,0.0006215932653537814,0.000952983847603415,0.0,0.0,0.0,Roydo Yorkland,5247,01,848,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,49.0,0,0.002017351111483829,0.0,0.0008888971473613748,0.0,0.0008956523413669286,Almone Prine,5423,01,1116,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,0.0,0,0.0,0.0,0.0,0.0,0.0,Vick Jenson,6334,04,1028,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,24.0,0,0.0,0.0,0.0,0.0,0.0,Dennya Fielson,2758,01,446,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,48.0,0,0.0,0.0007444077555893908,0.0,0.0015154031820428778,0.0012536060906330165,Majoram Tachor,5647,03,178,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,17.0,0,0.0,0.0,0.0,0.0,0.0,Okulas Waring,1165,04,44,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,24.0,0,0.0017053936070242155,0.0001978679246651781,0.0,0.00123977971881044,0.0008134303904498851,Cores Flynner,0594,02,39,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0.0,0,0.0,0.0,0.0,0.0,0.0,Annah Morsentley,1800,04,283,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,47.0,0,0.0016290796506089134,0.00013506587106653688,0.001062220980096179,0.001216562345353022,0.0,Alancy Morez,5945,03,970,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,20.0,0,0.0,0.0,0.0017051676946862452,0.0002092618751201175,0.0011381224129238246,Brancy Ocherman,5732,01,921,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,19.0,0,0.00035093603895458694,0.00017043415349584867,0.0026124638636812227,0.0010139182503301767,0.0,Marky Meltonway,5916,01,383,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,25.0,0,0.0,0.0,0.0,0.0,0.0,Atrino Lisholtery,7660,01,294,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,28.0,0,0.0,0.0,0.0,0.0,0.0,Antinon Whifounrew,3279,03,123,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,24.0,0,0.0,0.0009992014362966153,0.0028716543890498127,0.0004385926492481906,0.0011467725996130666,Muonon Ormler,0600,01,23,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,33.0,0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,0064,02,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,13.0,0,0.0,0.0,0.0,0.0,0.0,Alendy Wardendez,0825,01,120,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
0,47.0,0,0.0,0.0011069620633416372,0.0,0.0010691794775536615,0.0007547357929879609,Saiphda Volloor,3495,01,127,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,16.0,0,0.0019138879633760532,0.0,0.0005925980982409165,0.0,0.0008462436556731925,Viviay Nieldson,6766,01,1098,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,29.0,0,0.002223080674180008,0.0,0.002759398364220878,0.0,0.0,Neypus Pine,7848,01,1501,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,11.0,0,0.0,0.0,0.0,0.0,0.0,Miatrix Ametic,6191,04,59,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,61.0,0,0.0,0.0004904146899475349,0.0028648814268931663,0.00026405908660287366,0.0,Min Alfordonard,5445,01,1125,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,33.0,0,0.0,0.0,0.0,0.0,0.0,Morms Cheen,3166,01,657,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,26.0,0,0.00022141598857696089,0.0010390178194101265,0.0013927358189332406,0.0012070282195884984,0.00045325158086994183,Zinoces Myling,8431,02,277,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,20.0,0,0.0,0.0004005577322098213,0.0,0.0,0.0011489221587254461,Warry Navages,4547,01,297,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,40.0,0,0.0021915412364234407,0.0,0.002512550828982251,0.0,0.0,Hork Repie,8158,01,1686,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,32.0,0,0.0017053936070242155,0.0002202829478144612,0.0,0.0007951304719474196,0.0,Therry Fowlesterez,5950,01,378,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1,34.0,0,0.0,0.0,0.0,0.0,0.0,Hon Mille,9097,01,1863,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,63.0,0,0.0,0.0008574581579592827,0.0,0.000985944550332733,0.0014889921398956877,Wezncha Excialing,0377,01,15,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,21.0,0,0.0,0.0003244516565995703,0.0,0.0012534693991331231,0.0008830680217265122,Benda Fryan,7062,01,1464,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
1,33.0,0,0.0,0.0,0.0,0.0,0.0,Dhenah Motled,6152,01,235,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,26.0,0,0.0,0.0,0.0,0.0,0.0,Asteron Spandisket,6858,01,229,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,19.0,0,0.0,0.00017043415349584867,0.0,0.001299688400697091,0.0013329142457451195,Shatrix Impress,8268,02,321,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,33.0,0,0.00035093603895458694,0.0009160010322491673,0.0010964367698127824,0.001338382306978677,0.000826480782373959,Nuson Brugashed,0206,01,9,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,24.0,0,0.0019443334420199605,0.0,0.0032782731479212898,0.0,0.0,Babix Prine,4317,01,139,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,2.0,0,0.0,0.0,0.0,0.0,0.0,Sharie Moodman,4661,02,757,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,55.0,0,0.0017095748097683723,0.0006424650750209832,0.002240685239515093,0.0007798840676697448,0.0007392125535773523,Lulah Hinetthews,0456,01,83,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,24.0,0,0.0021095357399411262,0.00044721304168066577,0.003175383415987686,0.0,0.0,Gorn Traie,2532,01,489,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,33.0,0,0.0,0.0,0.0,0.0,0.0,Dicks Chort,0582,01,118,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,23.0,0,0.001694065173855811,0.0007411301491573129,0.0018398551277936876,0.00013202954330143683,0.00011904631697036315,Michele Bryant,1463,01,282,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,20.0,0,0.0017053936070242155,0.0011011615108591473,0.0012586568829659672,0.0016195009045209057,0.0014889921398956877,Charda Rewmid,8729,02,559,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1,18.0,0,0.0,0.0,0.0,0.0,0.0,Bakix Razo,3361,03,635,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,33.0,1,0.0,0.0,0.0,0.0,0.0,Hekabih Pulgaly,8092,02,238,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,31.0,0,0.0,0.0009334845876940679,0.0,0.0009815905695108476,0.0006818878340149572,Aston Spedlybood,1871,01,70,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,0.0,0,0.0,0.0,0.0,0.0,0.0,Yolace Domington,3301,03,525,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,32.0,0,0.001761186239399525,0.0010382537913717295,0.0,0.0007333698293142508,0.0009125300092815359,Ronald Atkins,0330,02,14,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
0,36.0,0,0.0,0.0,0.0015660596516680445,0.0004385926492481906,0.001176492256959286,Danie Gilesonston,0475,01,29,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,24.0,0,0.0,0.0006949297606644564,0.0,0.0016070787755549495,0.0010449977523529618,Giedir Asoppor,0816,01,60,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
